engine,total_levels,orders_per_level,m_orders_per_second
EngineV1,1,100000,24.43
EngineV1,10,10000,24.534
EngineV1,100,1000,21.077
EngineV1,1000,100,16.958
EngineV1,10000,10,13.169
EngineV2,1,100000,19.582
EngineV2,10,10000,18.565
EngineV2,100,1000,16.947
EngineV2,1000,100,13.822
EngineV2,10000,10,10.748
EngineV3,1,100000,82.229
EngineV3,10,10000,70.073
EngineV3,100,1000,51.187
EngineV3,1000,100,31.968
EngineV3,10000,10,17.582
EngineV4,1,100000,98.417
EngineV4,10,10000,78.402
EngineV4,100,1000,56.005
EngineV4,1000,100,39.397
EngineV4,10000,10,22.608
